Ano,Valor_ano_anterior_Total das Atividades,Valor_preço_anterior_Total das Atividades,Valor_corrente_Total das Atividades,Taxa de Crescimento_Total das Atividades,Valor_ano_anterior_Indústrias extrativas,Valor_preço_anterior_Indústrias extrativas,Valor_corrente_Indústrias extrativas,Taxa de Crescimento_Indústrias extrativas,Valor_ano_anterior_Indústrias de Transformação,Valor_preço_anterior_Indústrias de Transformação,Valor_corrente_Indústrias de Transformação,Taxa de Crescimento_Indústrias de Transformação,"Valor_ano_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_preço_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_corrente_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Taxa de Crescimento_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Valor_ano_anterior_Construção,Valor_preço_anterior_Construção,Valor_corrente_Construção,Taxa de Crescimento_Construção
2002,0.0,0.0,1270214.6670299887,,0.0,0.0,25740.85100000032,,0.0,0.0,183968.88799999232,,0.0,0.0,43218.25099999932,,0.0,0.0,81979.57999999999,
2003,1270214.6670299887,1285796.4390000042,1470717.2340300013,0.01226703830026521,25740.85100000032,26920.500999999946,32325.019000000368,0.04582793319457901,183968.88799999232,188861.31400000537,248256.96699999974,0.02659376839856331,43218.25099999932,44824.838000000374,48108.40899999989,0.037173808815194276,81979.57999999999,74647.96899999956,67878.14799999891,-0.08943216103327711
2004,1470717.2340300013,1553911.220999993,1661982.123049989,0.056566949135441025,32325.019000000368,32173.304999999764,40827.779000001035,-0.004693392446284528,248256.96699999974,270805.7019999989,295611.2359999918,0.09082820624324772,48108.40899999989,50995.5810000006,57367.478000000025,0.06001387408177883,67878.14799999891,75171.6199999993,82056.72499999893,0.10744948433184276
2005,1661982.123049989,1712074.2469999935,1842818.4019999993,0.030139989627612662,40827.779000001035,43606.95699999948,58023.11000000034,0.06807076133135648,295611.2359999918,302240.9249999921,319906.8540000022,0.022427053483178305,57367.478000000025,59172.028000000115,62185.53900000061,0.03145597580566628,82056.72499999893,80333.85000000171,84570.74100000023,-0.020996146263420168
2006,1842818.4019999993,1910748.6639999878,2049289.978,0.036862157403173335,58023.11000000034,61808.859999999455,72012.65299999993,0.06524555474532634,319906.8540000022,323853.21999999514,339947.9709999927,0.012335984523772936,62185.53900000061,64758.404999999606,66218.72700000109,0.041374024272732735,84570.74100000023,84793.34899999821,89102.05500000027,0.002632210589215367
2007,2049289.978,2168132.571950007,2319528.2809700076,0.05799208273393863,72012.65299999993,74094.11700000032,68587.33600000001,0.028904142720590942,339947.9709999927,360825.24700000975,385033.24300000636,0.061413150778939496,66218.72700000109,70274.54400000002,69579.3470000007,0.06124879144835971,89102.05500000027,97296.76499999927,105871.24500000101,0.09196993267999232
2008,2319528.2809700076,2428003.4799899976,2626477.716000016,0.04676606011228568,68587.33600000001,71408.78000000057,100288.12399999978,0.04113651534738949,385033.24300000636,401010.357,433978.5230000083,0.04149541446215688,69579.3470000007,71374.84499999981,68838.57800000047,0.025805042407182954,105871.24500000101,111066.62700000088,114801.96099999905,0.049072644796042786
2009,2626477.716000016,2623933.8669999973,2849762.8219800033,-0.000968540103927773,100288.12399999978,98161.46499999941,62704.62100000025,-0.021205491888554695,433978.5230000083,393774.9450000061,435276.9829999983,-0.09263955672756052,68838.57800000047,69350.29399999986,76616.113,0.007433564359789369,114801.96099999905,122862.40799999921,154624.3579999988,0.07021175361281706
2010,2849762.8219800033,3048567.61739,3302840.0000000014,0.06976187417304702,62704.62100000025,72040.02455999973,109964.99999999972,0.1488790365226742,435276.9829999983,475279.1229999983,494352.00000000244,0.0919004256193352,76616.113,81424.31729999976,92913.99999999983,0.06275709001316421,154624.3579999988,174881.68909999562,206926.9999999999,0.1310099609273525
2011,3302840.0000000014,3426470.0000000065,3720461.000000001,0.037431422654444324,109964.99999999972,113781.00000000025,162567.0000000001,0.03470195062065695,494352.00000000244,505461.000000001,515704.00000000146,0.022471841926397618,92913.99999999983,98122.99999999983,99219.00000000051,0.05606259551843662,206926.9999999999,223993.00000000055,233543.99999999983,0.0824735293122727
