,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,111806.13161683593,Indústrias de Transformação,Região Sudeste,
58,2003,111806.13161683593,112992.69566042822,151331.26616687904,Indústrias de Transformação,Região Sudeste,0.010612692045000482
59,2004,151331.26616687904,164592.47370961498,181929.45205919005,Indústrias de Transformação,Região Sudeste,0.08763032173478469
60,2005,181929.45205919005,186662.66496847497,198120.77285018604,Indústrias de Transformação,Região Sudeste,0.026016749106378745
61,2006,198120.77285018604,201167.274018031,209317.31761119005,Indústrias de Transformação,Região Sudeste,0.015376990125859358
62,2007,209317.31761119005,222679.5484977279,241732.28173818602,Indústrias de Transformação,Região Sudeste,0.06383719722301429
63,2008,241732.28173818602,252413.541375208,271415.059620531,Indústrias de Transformação,Região Sudeste,0.04418631868370215
64,2009,271415.059620531,241287.551099032,264080.42510772095,Indústrias de Transformação,Região Sudeste,-0.11100160972504869
65,2010,264080.42510772095,289608.965392262,297668.12441996596,Indústrias de Transformação,Região Sudeste,0.09666956675841343
66,2011,297668.12441996596,302467.109125305,305541.9587625222,Indústrias de Transformação,Região Sudeste,0.016121930135080342
67,2012,305541.9587625222,295731.18454026256,302077.4126149458,Indústrias de Transformação,Região Sudeste,-0.0321094171877222
68,2013,302077.4126149458,309604.66499972914,314902.86769998656,Indústrias de Transformação,Região Sudeste,0.024918289386893777
69,2014,314902.86769998656,297333.3324328296,336882.88459909055,Indústrias de Transformação,Região Sudeste,-0.055793506726320996
70,2015,336882.88459909055,305528.5676618236,350177.47970906616,Indústrias de Transformação,Região Sudeste,-0.09307186078800156
71,2016,350177.47970906616,331441.06897642434,374711.63557644363,Indústrias de Transformação,Região Sudeste,-0.05350547027812402
72,2017,374711.63557644363,382681.1270568347,388781.7309331641,Indústrias de Transformação,Região Sudeste,0.02126833202852385
73,2018,388781.7309331641,390933.0575990862,407913.44091484055,Indústrias de Transformação,Região Sudeste,0.005533507607876631
74,2019,407913.44091484055,401358.82140056445,416929.0611140457,Indústrias de Transformação,Região Sudeste,-0.016068652946507056
75,2020,416929.0611140457,394383.1125573518,439751.527975781,Indústrias de Transformação,Região Sudeste,-0.054076222214998526
76,2021,439751.527975781,457710.2588644695,597694.0417382722,Indústrias de Transformação,Região Sudeste,0.040838359269276925
