,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,19609.83588807343,Indústrias extrativas,Região Sudeste,
58,2003,19609.83588807343,20299.606720160147,25052.379715367762,Indústrias extrativas,Região Sudeste,0.03517473761757639
59,2004,25052.379715367762,24415.91938292861,30960.074667558798,Indústrias extrativas,Região Sudeste,-0.02540518464394559
60,2005,30960.074667558798,34063.0894705989,46321.1843721668,Indústrias extrativas,Região Sudeste,0.10022633460543817
61,2006,46321.1843721668,50167.5788933421,59193.0638685835,Indústrias extrativas,Região Sudeste,0.083037482165212
62,2007,59193.0638685835,60364.85323657381,54850.753312649096,Indústrias extrativas,Região Sudeste,0.019796058717146847
63,2008,54850.753312649096,57323.9504804813,79211.5790609741,Indústrias extrativas,Região Sudeste,0.04508957522852941
64,2009,79211.5790609741,78352.76915186792,49073.374607581,Indústrias extrativas,Região Sudeste,-0.010841974358888784
65,2010,49073.374607581,56415.069078567,80717.37310516024,Indústrias extrativas,Região Sudeste,0.14960647254635373
66,2011,80717.37310516024,82330.0860104196,122469.49553812268,Indústrias extrativas,Região Sudeste,0.019979749627856425
67,2012,122469.49553812268,119134.88373934185,145197.1002322287,Indústrias extrativas,Região Sudeste,-0.027228101039599828
68,2013,145197.1002322287,139032.9631194925,146933.45971363134,Indústrias extrativas,Região Sudeste,-0.04245358277043598
69,2014,146933.45971363134,161690.54284947962,152452.95405693995,Indústrias extrativas,Região Sudeste,0.10043378250678492
70,2015,152452.95405693995,163472.63784229528,87195.15147929231,Indústrias extrativas,Região Sudeste,0.0722825205554205
71,2016,87195.15147929231,86492.3209997363,36881.89926974579,Indústrias extrativas,Região Sudeste,-0.008060430742217628
72,2017,36881.89926974579,38225.98968452905,61762.74803624936,Indústrias extrativas,Região Sudeste,0.036443091093354196
73,2018,61762.74803624936,60084.53494355635,128418.75515338834,Indústrias extrativas,Região Sudeste,-0.02717193042816113
74,2019,128418.75515338834,120730.04509430703,137322.6739544924,Indústrias extrativas,Região Sudeste,-0.05987217404418543
75,2020,137322.6739544924,139132.6089791389,122057.21813824405,Indústrias extrativas,Região Sudeste,0.01318016153141821
76,2021,122057.21813824405,129203.36937492639,319541.54199365375,Indústrias extrativas,Região Sudeste,0.05854755126885247
