,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,183968.88799999232,Indústrias de Transformação,Brasil,
58,2003,183968.88799999232,188861.31400000537,248256.96699999974,Indústrias de Transformação,Brasil,0.02659376839856331
59,2004,248256.96699999974,270805.7019999989,295611.2359999918,Indústrias de Transformação,Brasil,0.09082820624324772
60,2005,295611.2359999918,302240.9249999921,319906.8540000022,Indústrias de Transformação,Brasil,0.022427053483178305
61,2006,319906.8540000022,323853.21999999514,339947.9709999927,Indústrias de Transformação,Brasil,0.012335984523772936
62,2007,339947.9709999927,360825.24700000975,385033.24300000636,Indústrias de Transformação,Brasil,0.061413150778939496
63,2008,385033.24300000636,401010.357,433978.5230000083,Indústrias de Transformação,Brasil,0.04149541446215688
64,2009,433978.5230000083,393774.9450000061,435276.9829999983,Indústrias de Transformação,Brasil,-0.09263955672756052
65,2010,435276.9829999983,475279.1229999983,494352.00000000244,Indústrias de Transformação,Brasil,0.0919004256193352
66,2011,494352.00000000244,505461.000000001,515704.00000000146,Indústrias de Transformação,Brasil,0.022471841926397618
67,2012,515704.00000000146,503437.00000000047,514020.999999999,Indústrias de Transformação,Brasil,-0.023786901012986084
68,2013,514020.999999999,529509.9999999998,558733.0000000007,Indústrias de Transformação,Brasil,0.030133010129937965
69,2014,558733.0000000007,532544.999999998,597375.9999999983,Indústrias de Transformação,Brasil,-0.0468703298355434
70,2015,597375.9999999983,546692.9999999991,630813.0000000007,Indústrias de Transformação,Brasil,-0.084842712127704
71,2016,630813.0000000007,600741.9999999993,676238.0000000012,Indústrias de Transformação,Brasil,-0.04767022873656912
72,2017,676238.0000000012,691856.0000000012,706062.0000000009,Indústrias de Transformação,Brasil,0.023095419068434486
73,2018,706062.0000000009,715896.0000000005,737427.9999999991,Indústrias de Transformação,Brasil,0.013927955335366393
74,2019,737427.9999999991,734288.0000000005,763482.0000000005,Indústrias de Transformação,Brasil,-0.004258042819093699
75,2020,763482.0000000005,727853.9999999976,813688.999999998,Indústrias de Transformação,Brasil,-0.046665147311924726
76,2021,813688.999999998,844427.0000000009,1072838.9999999965,Indústrias de Transformação,Brasil,0.03777610364648276
