,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,46125.28609281519,Construção,Região Sudeste,
58,2003,46125.28609281519,41860.608807452096,38493.878961988994,Construção,Região Sudeste,-0.0924585546587513
59,2004,38493.878961988994,41845.5429398306,43105.6788329923,Construção,Região Sudeste,0.08707005030984871
60,2005,43105.6788329923,43023.328643918605,46558.7812083332,Construção,Região Sudeste,-0.0019104255240417478
61,2006,46558.7812083332,45733.38963121921,46334.2721285033,Construção,Região Sudeste,-0.017727946387184668
62,2007,46334.2721285033,49385.4469608584,56230.55103228261,Construção,Região Sudeste,0.06585135995862812
63,2008,56230.55103228261,59184.96607565399,60049.9715983938,Construção,Região Sudeste,0.052541100685199016
64,2009,60049.9715983938,64367.392270369215,81919.92077100942,Construção,Região Sudeste,0.07189713095702599
65,2010,81919.92077100942,91476.4953713911,107923.64553011923,Construção,Região Sudeste,0.1166575176152227
66,2011,107923.64553011923,115762.17325964257,117754.49758401899,Construção,Região Sudeste,0.07263030905804402
67,2012,117754.49758401899,121011.44125041451,133673.9061498443,Construção,Região Sudeste,0.027658762367625656
68,2013,133673.9061498443,139823.21192517638,150973.88695774664,Construção,Região Sudeste,0.04600228984435373
69,2014,150973.88695774664,146867.96806262282,155614.92416977434,Construção,Região Sudeste,-0.027196219014172573
70,2015,155614.92416977434,142918.9489791541,146979.23817392072,Construção,Região Sudeste,-0.0815858456915678
71,2016,146979.23817392072,132686.36626277913,136433.5928656342,Construção,Região Sudeste,-0.09724415562848954
72,2017,136433.5928656342,123150.65013341556,121696.40208821335,Construção,Região Sudeste,-0.09735830049788585
73,2018,121696.40208821335,117579.78083774105,120663.03930460096,Construção,Região Sudeste,-0.033826975817151106
74,2019,120663.03930460096,124428.2436471994,121300.6227434675,Construção,Região Sudeste,0.031204288938003533
75,2020,121300.6227434675,119022.37400259101,129276.3994432428,Construção,Região Sudeste,-0.018781838784905802
76,2021,129276.3994432428,145711.7571903009,130734.76284199518,Construção,Região Sudeste,0.12713347384240725
