,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,717210.1489188254,Total das Atividades,Região Sudeste,
58,2003,717210.1489188254,716682.9007440829,817635.4670493696,Total das Atividades,Região Sudeste,-0.0007351376378839092
59,2004,817635.4670493696,860995.7700905327,920027.3823529773,Total das Atividades,Região Sudeste,0.05303133827797257
60,2005,920027.3823529773,953391.0786264861,1044988.7671486877,Total das Atividades,Região Sudeste,0.03626380791860884
61,2006,1044988.7671486877,1084329.6138923445,1167218.5984408576,Total das Atividades,Região Sudeste,0.03764714796982993
62,2007,1167218.5984408576,1237090.3413540153,1310938.8456815316,Total das Atividades,Região Sudeste,0.059861745697413316
63,2008,1310938.8456815316,1379014.7891413143,1470202.6225052555,Total das Atividades,Região Sudeste,0.05192915267103193
64,2009,1470202.6225052555,1463168.4934405717,1578726.889595972,Total das Atividades,Região Sudeste,-0.00478446232989127
65,2010,1578726.889595972,1688099.0223199897,1826244.3063282268,Total das Atividades,Região Sudeste,0.06927869123202712
66,2011,1826244.3063282268,1885901.5875643338,2056871.4274478385,Total das Atividades,Região Sudeste,0.03266664872239988
67,2012,2056871.4274478385,2088133.26064816,2259374.5525770616,Total das Atividades,Região Sudeste,0.015198729868648675
68,2013,2259374.5525770616,2300439.912719156,2480879.06312772,Total das Atividades,Região Sudeste,0.018175543357897395
69,2014,2480879.06312772,2471160.2806530213,2696169.3257259238,Total das Atividades,Região Sudeste,-0.003917475309113128
70,2015,2696169.3257259238,2606540.637408757,2740336.131018276,Total das Atividades,Região Sudeste,-0.033242974564676064
71,2016,2740336.131018276,2664153.179669454,2838141.0489232973,Total das Atividades,Região Sudeste,-0.02780058639029548
72,2017,2838141.0489232973,2837558.989453499,2950815.537184031,Total das Atividades,Região Sudeste,-0.000205084757862517
73,2018,2950815.537184031,2992027.464291407,3138275.993553307,Total das Atividades,Região Sudeste,0.013966283757169018
74,2019,3138275.993553307,3162176.487174727,3322642.5247702994,Total das Atividades,Região Sudeste,0.007615803603799209
75,2020,3322642.5247702994,3216664.2154123397,3384923.6457119766,Total das Atividades,Região Sudeste,-0.03189579034394807
76,2021,3384923.6457119766,3539194.6634026873,3975921.2633841904,Total das Atividades,Região Sudeste,0.04557592248384723
