,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,11581.665826866,Construção,Rio de Janeiro,
58,2003,11581.665826866,10887.638789732,9320.982136952001,Construção,Rio de Janeiro,-0.059924629799287144
59,2004,9320.982136952001,10140.230384878001,10968.56422299,Construção,Rio de Janeiro,0.08789291041318292
60,2005,10968.56422299,10397.660691068,10678.584564909997,Construção,Rio de Janeiro,-0.05204906679813137
61,2006,10678.584564909997,10356.799776343001,10837.632334918002,Construção,Rio de Janeiro,-0.03013365550565439
62,2007,10837.632334918002,11848.062639979,12232.5126583,Construção,Rio de Janeiro,0.09323349176604467
63,2008,12232.5126583,12742.911393072003,13174.273901359002,Construção,Rio de Janeiro,0.04172476653238433
64,2009,13174.273901359002,13240.939347354999,17344.385382324996,Construção,Rio de Janeiro,0.005060274782135776
65,2010,17344.385382324996,19807.168733025996,21712.090204102293,Construção,Rio de Janeiro,0.14199311745060328
66,2011,21712.090204102293,23283.394240368267,23730.033213947554,Construção,Rio de Janeiro,0.07237000314088093
67,2012,23730.033213947554,25387.618340367073,27898.745265275804,Construção,Rio de Janeiro,0.06985178282200022
68,2013,27898.745265275804,29514.931708688157,33834.57441434512,Construção,Rio de Janeiro,0.05793043479356541
69,2014,33834.57441434512,33033.07198272923,35852.939482478236,Construção,Rio de Janeiro,-0.023688858083466102
70,2015,35852.939482478236,33004.318458292684,31420.662283210884,Construção,Rio de Janeiro,-0.07945292813655369
71,2016,31420.662283210884,26801.806889425457,29202.227435260837,Construção,Rio de Janeiro,-0.14700057408571676
72,2017,29202.227435260837,24880.525598215103,23637.409068800614,Construção,Rio de Janeiro,-0.14799219842481626
73,2018,23637.409068800614,21934.188601733316,23221.218039801628,Construção,Rio de Janeiro,-0.07205614042172692
74,2019,23221.218039801628,23699.937448738892,21814.420844210086,Construção,Rio de Janeiro,0.020615602855833304
75,2020,21814.420844210086,19855.754038312753,22359.818605696113,Construção,Rio de Janeiro,-0.08978770602645625
76,2021,22359.818605696113,24323.63783124918,22028.98768906563,Construção,Rio de Janeiro,0.0878280481690843
