,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,11165.029984836006,Indústrias de Transformação,Rio de Janeiro,
58,2003,11165.029984836006,10900.109800477005,15385.394409365997,Indústrias de Transformação,Rio de Janeiro,-0.023727673344255074
59,2004,15385.394409365997,15929.579706542,20560.307963200004,Indústrias de Transformação,Rio de Janeiro,0.03537025328676169
60,2005,20560.307963200004,20292.313608241,20157.784292104996,Indústrias de Transformação,Rio de Janeiro,-0.013034549649678318
61,2006,20157.784292104996,20431.11957462599,21255.022428680008,Indústrias de Transformação,Rio de Janeiro,0.0135597880481364
62,2007,21255.022428680008,21929.898437425003,24680.72485652101,Indústrias de Transformação,Rio de Janeiro,0.03175136657745248
63,2008,24680.72485652101,24683.599539531006,28446.073754209992,Indústrias de Transformação,Rio de Janeiro,0.00011647482100740625
64,2009,28446.073754209992,26106.086793591003,28573.152728134002,Indústrias de Transformação,Rio de Janeiro,-0.0822604546707495
65,2010,28573.152728134002,30245.993750693007,31543.824185155092,Indústrias de Transformação,Rio de Janeiro,0.05854590280868366
66,2011,31543.824185155092,32505.367809600113,30242.180220631042,Indústrias de Transformação,Rio de Janeiro,0.030482785435303583
67,2012,30242.180220631042,29994.122921289214,31065.300236731215,Indústrias de Transformação,Rio de Janeiro,-0.008202361652901113
68,2013,31065.300236731215,31798.717211677063,33268.58541236792,Indústrias de Transformação,Rio de Janeiro,0.023608880949383737
69,2014,33268.58541236792,31755.104936813157,36558.97948072793,Indústrias de Transformação,Rio de Janeiro,-0.04549278115660749
70,2015,36558.97948072793,32987.27827682185,38219.89927896744,Indústrias de Transformação,Rio de Janeiro,-0.0976969613112122
71,2016,38219.89927896744,34662.12029525412,38995.020789044436,Indústrias de Transformação,Rio de Janeiro,-0.09308708423706336
72,2017,38995.020789044436,39894.367770837736,37926.37062755808,Indústrias de Transformação,Rio de Janeiro,0.023063123537196972
73,2018,37926.37062755808,38110.941642458834,40637.56231127423,Indústrias de Transformação,Rio de Janeiro,0.004866561493934274
74,2019,40637.56231127423,36761.8648504288,38599.50258918228,Indústrias de Transformação,Rio de Janeiro,-0.09537229204740427
75,2020,38599.50258918228,37169.19776578726,44856.43707494885,Indústrias de Transformação,Rio de Janeiro,-0.03705500660508165
76,2021,44856.43707494885,50178.633924674104,67773.83097622397,Indústrias de Transformação,Rio de Janeiro,0.11864956730363141
