,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,15446.549486763999,Indústrias extrativas,Rio de Janeiro,
58,2003,15446.549486763999,15553.450207097,19791.039772693002,Indústrias extrativas,Rio de Janeiro,0.006920686100452489
59,2004,19791.039772693002,19013.085259503998,23174.479357050004,Indústrias extrativas,Rio de Janeiro,-0.039308420483414874
60,2005,23174.479357050004,25844.232575833,36498.82754891699,Indústrias extrativas,Rio de Janeiro,0.11520229549281424
61,2006,36498.82754891699,39049.10277060499,48846.717961127,Indústrias extrativas,Rio de Janeiro,0.06987279846921202
62,2007,48846.717961127,47859.090186956,43500.948623216005,Indústrias extrativas,Rio de Janeiro,-0.0202189177777915
63,2008,43500.948623216005,44089.671226572005,60418.224891342004,Indústrias extrativas,Rio de Janeiro,0.013533557818594444
64,2009,60418.224891342004,64965.532870298994,37696.164139096,Indústrias extrativas,Rio de Janeiro,0.07526384608510117
65,2010,37696.164139096,37982.177910146,48626.638929931345,Indústrias extrativas,Rio de Janeiro,0.007587344165698839
66,2011,48626.638929931345,45637.51096352867,70076.88217067196,Indústrias extrativas,Rio de Janeiro,-0.06147099680711765
67,2012,70076.88217067196,67601.91518557625,87973.70711771204,Indústrias extrativas,Rio de Janeiro,-0.03531788099630262
68,2013,87973.70711771204,81459.18691090369,83948.5299068908,Indústrias extrativas,Rio de Janeiro,-0.07405076380482267
69,2014,83948.5299068908,87696.59897213787,88003.05678529349,Indústrias extrativas,Rio de Janeiro,0.044647226930645934
70,2015,88003.05678529349,92149.38593741646,48917.127968884655,Indústrias extrativas,Rio de Janeiro,0.047115740107062765
71,2016,48917.127968884655,51133.89992682407,15007.235779849656,Indústrias extrativas,Rio de Janeiro,0.04531688694703151
72,2017,15007.235779849656,14866.883935295837,28174.400379580245,Indústrias extrativas,Rio de Janeiro,-0.00935227823516116
73,2018,28174.400379580245,28890.81228290895,70237.85119803273,Indústrias extrativas,Rio de Janeiro,0.02542776043773176
74,2019,70237.85119803273,80845.7488666484,86305.60985177648,Indústrias extrativas,Rio de Janeiro,0.15102822036379115
75,2020,86305.60985177648,96599.71541107143,71072.21268745349,Indústrias extrativas,Rio de Janeiro,0.11927504570067149
76,2021,71072.21268745349,73421.86818234825,183841.50330317658,Indústrias extrativas,Rio de Janeiro,0.03306011457990743
