,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,157947.5645912824,Total das Atividades,Rio de Janeiro,
58,2003,157947.5645912824,156509.8457446059,175430.46637582645,Total das Atividades,Rio de Janeiro,-0.009102507217486067
59,2004,175430.46637582645,180371.07926328902,199826.62407779088,Total das Atividades,Rio de Janeiro,0.028162798569310254
60,2005,199826.62407779088,204971.36779659375,227038.9041403664,Total das Atividades,Rio de Janeiro,0.025746037308822523
61,2006,227038.9041403664,235877.3667241965,253626.46633205368,Total das Atividades,Rio de Janeiro,0.03892928666694839
62,2007,253626.46633205368,261375.9299429261,272927.4576314701,Total das Atividades,Rio de Janeiro,0.03055463305129469
63,2008,272927.4576314701,282291.96359899535,319780.56585984444,Total das Atividades,Rio de Janeiro,0.03431133697134281
64,2009,319780.56585984444,326601.1148106955,333082.30307498365,Total das Atividades,Rio de Janeiro,0.021328841333780213
65,2010,333082.30307498365,347407.0825302322,379412.0077220996,Total das Atividades,Rio de Janeiro,0.04300672633461322
66,2011,379412.0077220996,387802.58756539976,436279.8393848996,Total das Atividades,Rio de Janeiro,0.022114692399102465
67,2012,436279.8393848996,443337.2720807825,489621.32428560045,Total das Atividades,Rio de Janeiro,0.016176389690234272
68,2013,489621.32428560045,494727.7968249421,534960.4458493188,Total das Atividades,Rio de Janeiro,0.010429432473743727
69,2014,534960.4458493188,542767.3747303061,579338.8273526609,Total das Atividades,Rio de Janeiro,0.014593469370605128
70,2015,579338.8273526609,565996.0283527097,556399.2225614954,Total das Atividades,Rio de Janeiro,-0.02303108020728095
71,2016,556399.2225614954,534415.5629064112,542132.6208717079,Total das Atividades,Rio de Janeiro,-0.03951058657824491
72,2017,542132.6208717079,532198.3980356244,563487.4814884353,Total das Atividades,Rio de Janeiro,-0.018324340675368367
73,2018,563487.4814884353,569118.8571679527,630432.5744070676,Total das Atividades,Rio de Janeiro,0.009993790216318965
74,2019,630432.5744070676,633317.301356545,661054.2346463387,Total das Atividades,Rio de Janeiro,0.004575789809386777
75,2020,661054.2346463387,644150.5110667442,654129.7019392985,Total das Atividades,Rio de Janeiro,-0.025570857417830384
76,2021,654129.7019392985,681745.4228880038,819846.1037637815,Total das Atividades,Rio de Janeiro,0.042217500393015195
