,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,10842.782289847,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,
58,2003,10842.782289847,11309.050916314998,11738.007946149002,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.043002673483963916
59,2004,11738.007946149002,11824.700794836002,13933.924843411,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.007385652581317403
60,2005,13933.924843411,14906.629639619,15754.224049174,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.06980838544338552
61,2006,15754.224049174,16488.493722562,14987.565637957001,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.04660779681031002
62,2007,14987.565637957001,16497.531949612003,13779.631265333,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.10074793653152803
63,2008,13779.631265333,13379.849193546997,12127.749411674995,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,-0.02901253771512602
64,2009,12127.749411674995,12656.844635665997,15688.491515213997,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.04362682687701791
65,2010,15688.491515213997,15801.229172385003,20612.110449061278,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.0071860100164300444
66,2011,20612.110449061278,21236.8453763758,21685.68669257675,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.030309119915616245
67,2012,21685.68669257675,21799.35304702007,20070.375507085184,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.005241538165458692
68,2013,20070.375507085184,19794.895490728217,20207.314372571556,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,-0.0137257031518776
69,2014,20207.314372571556,19163.95043296283,18544.820622436364,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,-0.05163298399637606
70,2015,18544.820622436364,17984.483061715324,26407.642962292364,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,-0.030215313058521542
71,2016,26407.642962292364,28295.091944207023,29242.68550731214,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.071473587574997
72,2017,29242.68550731214,29165.305122779624,29816.281129670853,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,-0.0026461449483894395
73,2018,29816.281129670853,31092.394377478548,30415.34431307776,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.042799209004566574
74,2019,30415.34431307776,30968.835087498886,35503.07413409937,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,0.018197748107791067
75,2020,35503.07413409937,34370.9287101294,38839.068169808445,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,-0.03188865898467608
76,2021,38839.068169808445,38323.538897117556,40781.397648661696,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",São Paulo,-0.013273471712476281
