,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,79934.46908394003,Indústrias de Transformação,São Paulo,
58,2003,79934.46908394003,80778.76567767996,108607.17234316998,Indústrias de Transformação,São Paulo,0.01056235943536854
59,2004,108607.17234316998,119937.58669296997,125576.35920184002,Indústrias de Transformação,São Paulo,0.10432473385826557
60,2005,125576.35920184002,129178.84142503998,139944.15877009003,Indústrias de Transformação,São Paulo,0.02868758296623053
61,2006,139944.15877009003,141962.65995206,146414.49867656,Indústrias de Transformação,São Paulo,0.014423618675546868
62,2007,146414.49867656,156084.16214151002,169408.66614003002,Indústrias de Transformação,São Paulo,0.06604307327726455
63,2008,169408.66614003002,178918.45809776007,187540.43938906994,Indústrias de Transformação,São Paulo,0.05613521536064425
64,2009,187540.43938906994,168078.6624359001,185882.19200706994,Indústrias de Transformação,São Paulo,-0.10377376216334111
65,2010,185882.19200706994,202959.70459854003,205956.8731128236,Indústrias de Transformação,São Paulo,0.09187277386324633
66,2011,205956.8731128236,209637.9807677107,214532.71535122022,Indústrias de Transformação,São Paulo,0.017873196457350415
67,2012,214532.71535122022,207012.2407781826,210494.1123949027,Indústrias de Transformação,São Paulo,-0.035055140940744356
68,2013,210494.1123949027,217605.02486923095,215755.50914888392,Indústrias de Transformação,São Paulo,0.03378200175493573
69,2014,215755.50914888392,202839.36379595826,230653.7803395548,Indústrias de Transformação,São Paulo,-0.05986473023969352
70,2015,230653.7803395548,207496.73102214452,240340.90400355993,Indústrias de Transformação,São Paulo,-0.10039744106218351
71,2016,240340.90400355993,227890.18710782385,260655.6260025172,Indústrias de Transformação,São Paulo,-0.051804402364866164
72,2017,260655.6260025172,266027.11129963974,272248.1275668577,Indústrias de Transformação,São Paulo,0.020607593933424928
73,2018,272248.1275668577,274233.7101116965,278362.2445513512,Indústrias de Transformação,São Paulo,0.0072932826483855795
74,2019,278362.2445513512,276573.2857306611,284794.6979576689,Indústrias de Transformação,São Paulo,-0.006426729399216513
75,2020,284794.6979576689,267581.67758572643,298301.62187358877,Indústrias de Transformação,São Paulo,-0.06044010122162102
76,2021,298301.62187358877,303781.42088202626,383814.53535762744,Indústrias de Transformação,São Paulo,0.018369994014848734
