,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,430781.1932316763,Total das Atividades,São Paulo,
58,2003,430781.1932316763,428783.3326616812,492825.39085838414,Total das Atividades,São Paulo,-0.004637761818261699
59,2004,492825.39085838414,522775.07159198215,539425.320935618,Total das Atividades,São Paulo,0.060771383311709615
60,2005,539425.320935618,560830.2629435204,619285.1784534311,Total das Atividades,São Paulo,0.03968101084090048
61,2006,619285.1784534311,641078.4499541783,686836.8698765388,Total das Atividades,São Paulo,0.0351910109574598
62,2007,686836.8698765388,736524.6454508426,782245.7137098393,Total das Atividades,São Paulo,0.07234290666899601
63,2008,782245.7137098393,827784.5600909216,854006.2805491235,Total das Atividades,São Paulo,0.058215526890025515
64,2009,854006.2805491235,853137.0272591502,939371.6470458984,Total das Atividades,São Paulo,-0.0010178535097123964
65,2010,939371.6470458984,1004765.8625822283,1071840.4016799317,Total das Atividades,São Paulo,0.06961484918347205
66,2011,1071840.4016799317,1110457.1957011211,1184832.820716114,Total das Atividades,São Paulo,0.036028492638142895
67,2012,1184832.820716114,1198615.0540627956,1286699.0007729558,Total das Atividades,São Paulo,0.011632217732077565
68,2013,1286699.0007729558,1321121.438610466,1419426.2222842053,Total das Atividades,São Paulo,0.026752517734786263
69,2014,1419426.2222842053,1401665.8794072575,1552872.8968708534,Total das Atividades,São Paulo,-0.01251233956236697
70,2015,1552872.8968708534,1496830.569523462,1626004.2074988664,Total das Atividades,São Paulo,-0.03608944908518941
71,2016,1626004.2074988664,1585374.2334966606,1725307.4497324128,Total das Atividades,São Paulo,-0.02498761922929038
72,2017,1725307.4497324128,1726927.5915777697,1786741.7885046469,Total das Atividades,São Paulo,0.0009390452963082829
73,2018,1786741.7885046469,1812531.6226008364,1852796.8972714099,Total das Atividades,São Paulo,0.014434001746706615
74,2019,1852796.8972714099,1881416.875292938,1975310.4842294813,Total das Atividades,São Paulo,0.015446905197043614
75,2020,1975310.4842294813,1909228.9626168597,2014850.3083047292,Total das Atividades,São Paulo,-0.03345373911605509
76,2021,2014850.3083047292,2101939.4420568813,2246365.4311203207,Total das Atividades,São Paulo,0.04322362479892017
