Ano,Valor_ano_anterior_Total das Atividades,Valor_preço_anterior_Total das Atividades,Valor_corrente_Total das Atividades,Taxa de Crescimento_Total das Atividades,Valor_ano_anterior_Indústrias extrativas,Valor_preço_anterior_Indústrias extrativas,Valor_corrente_Indústrias extrativas,Taxa de Crescimento_Indústrias extrativas,Valor_ano_anterior_Indústrias de Transformação,Valor_preço_anterior_Indústrias de Transformação,Valor_corrente_Indústrias de Transformação,Taxa de Crescimento_Indústrias de Transformação,"Valor_ano_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_preço_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_corrente_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Taxa de Crescimento_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Valor_ano_anterior_Construção,Valor_preço_anterior_Construção,Valor_corrente_Construção,Taxa de Crescimento_Construção
2002,0.0,0.0,157947.5645912824,,0.0,0.0,15446.549486763999,,0.0,0.0,11165.029984836006,,0.0,0.0,5029.5466725028,,0.0,0.0,11581.665826866,
2003,157947.5645912824,156509.8457446059,175430.46637582645,-0.009102507217486067,15446.549486763999,15553.450207097,19791.039772693002,0.006920686100452489,11165.029984836006,10900.109800477005,15385.394409365997,-0.023727673344255074,5029.5466725028,4864.452154100801,5399.749021441799,-0.03282493018796162,11581.665826866,10887.638789732,9320.982136952001,-0.059924629799287144
2004,175430.46637582645,180371.07926328902,199826.62407779088,0.028162798569310254,19791.039772693002,19013.085259503998,23174.479357050004,-0.039308420483414874,15385.394409365997,15929.579706542,20560.307963200004,0.03537025328676169,5399.749021441799,5809.421667297,5983.023060873201,0.07586883098240982,9320.982136952001,10140.230384878001,10968.56422299,0.08789291041318292
2005,199826.62407779088,204971.36779659375,227038.9041403664,0.025746037308822523,23174.479357050004,25844.232575833,36498.82754891699,0.11520229549281424,20560.307963200004,20292.313608241,20157.784292104996,-0.013034549649678318,5983.023060873201,6062.869054954801,7168.4350469277,0.01334542642895098,10968.56422299,10397.660691068,10678.584564909997,-0.05204906679813137
2006,227038.9041403664,235877.3667241965,253626.46633205368,0.03892928666694839,36498.82754891699,39049.10277060499,48846.717961127,0.06987279846921202,20157.784292104996,20431.11957462599,21255.022428680008,0.0135597880481364,7168.4350469277,7604.557106413501,7755.5032466728,0.060839228734131945,10678.584564909997,10356.799776343001,10837.632334918002,-0.03013365550565439
2007,253626.46633205368,261375.9299429261,272927.4576314701,0.03055463305129469,48846.717961127,47859.090186956,43500.948623216005,-0.0202189177777915,21255.022428680008,21929.898437425003,24680.72485652101,0.03175136657745248,7755.5032466728,7843.827955848599,7673.291629103501,0.011388649629370251,10837.632334918002,11848.062639979,12232.5126583,0.09323349176604467
2008,272927.4576314701,282291.96359899535,319780.56585984444,0.03431133697134281,43500.948623216005,44089.671226572005,60418.224891342004,0.013533557818594444,24680.72485652101,24683.599539531006,28446.073754209992,0.00011647482100740625,7673.291629103501,9038.082489637001,6253.034243996599,0.17786250366883993,12232.5126583,12742.911393072003,13174.273901359002,0.04172476653238433
2009,319780.56585984444,326601.1148106955,333082.30307498365,0.021328841333780213,60418.224891342004,64965.532870298994,37696.164139096,0.07526384608510117,28446.073754209992,26106.086793591003,28573.152728134002,-0.0822604546707495,6253.034243996599,5971.571388036401,9548.43878062,-0.045012204471840844,13174.273901359002,13240.939347354999,17344.385382324996,0.005060274782135776
2010,333082.30307498365,347407.0825302322,379412.0077220996,0.04300672633461322,37696.164139096,37982.177910146,48626.638929931345,0.007587344165698839,28573.152728134002,30245.993750693007,31543.824185155092,0.05854590280868366,9548.43878062,10847.3669633388,11310.814524635429,0.1360356611758533,17344.385382324996,19807.168733025996,21712.090204102293,0.14199311745060328
2011,379412.0077220996,387802.58756539976,436279.8393848996,0.022114692399102465,48626.638929931345,45637.51096352867,70076.88217067196,-0.06147099680711765,31543.824185155092,32505.367809600113,30242.180220631042,0.030482785435303583,11310.814524635429,11407.24741328182,11489.784856708931,0.008525724512267185,21712.090204102293,23283.394240368267,23730.033213947554,0.07237000314088093
