Ano,Valor_ano_anterior_Total das Atividades,Valor_preço_anterior_Total das Atividades,Valor_corrente_Total das Atividades,Taxa de Crescimento_Total das Atividades,Valor_ano_anterior_Indústrias extrativas,Valor_preço_anterior_Indústrias extrativas,Valor_corrente_Indústrias extrativas,Taxa de Crescimento_Indústrias extrativas,Valor_ano_anterior_Indústrias de Transformação,Valor_preço_anterior_Indústrias de Transformação,Valor_corrente_Indústrias de Transformação,Taxa de Crescimento_Indústrias de Transformação,"Valor_ano_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_preço_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_corrente_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Taxa de Crescimento_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Valor_ano_anterior_Construção,Valor_preço_anterior_Construção,Valor_corrente_Construção,Taxa de Crescimento_Construção
2002,0.0,0.0,717210.1489188254,,0.0,0.0,19609.83588807343,,0.0,0.0,111806.13161683593,,0.0,0.0,22347.391065045158,,0.0,0.0,46125.28609281519,
2003,717210.1489188254,716682.9007440829,817635.4670493696,-0.0007351376378839092,19609.83588807343,20299.606720160147,25052.379715367762,0.03517473761757639,111806.13161683593,112992.69566042822,151331.26616687904,0.010612692045000482,22347.391065045158,23387.97165437712,25169.3695164707,0.04656385106893279,46125.28609281519,41860.608807452096,38493.878961988994,-0.0924585546587513
2004,817635.4670493696,860995.7700905327,920027.3823529773,0.05303133827797257,25052.379715367762,24415.91938292861,30960.074667558798,-0.02540518464394559,151331.26616687904,164592.47370961498,181929.45205919005,0.08763032173478469,25169.3695164707,25877.48269171874,29741.9183885611,0.028133925833329076,38493.878961988994,41845.5429398306,43105.6788329923,0.08707005030984871
2005,920027.3823529773,953391.0786264861,1044988.7671486877,0.03626380791860884,30960.074667558798,34063.0894705989,46321.1843721668,0.10022633460543817,181929.45205919005,186662.66496847497,198120.77285018604,0.026016749106378745,29741.9183885611,31053.417057641702,33998.0898758786,0.044095967581735174,43105.6788329923,43023.328643918605,46558.7812083332,-0.0019104255240417478
2006,1044988.7671486877,1084329.6138923445,1167218.5984408576,0.03764714796982993,46321.1843721668,50167.5788933421,59193.0638685835,0.083037482165212,198120.77285018604,201167.274018031,209317.31761119005,0.015376990125859358,33998.0898758786,35315.68267767351,35158.09472419941,0.03875490671991355,46558.7812083332,45733.38963121921,46334.2721285033,-0.017727946387184668
2007,1167218.5984408576,1237090.3413540153,1310938.8456815316,0.059861745697413316,59193.0638685835,60364.85323657381,54850.753312649096,0.019796058717146847,209317.31761119005,222679.5484977279,241732.28173818602,0.06383719722301429,35158.09472419941,37382.7717796996,34554.511032197806,0.06327638266384628,46334.2721285033,49385.4469608584,56230.55103228261,0.06585135995862812
2008,1310938.8456815316,1379014.7891413143,1470202.6225052555,0.05192915267103193,54850.753312649096,57323.9504804813,79211.5790609741,0.04508957522852941,241732.28173818602,252413.541375208,271415.059620531,0.04418631868370215,34554.511032197806,35877.754242708106,32085.53799919709,0.03829436941756481,56230.55103228261,59184.96607565399,60049.9715983938,0.052541100685199016
2009,1470202.6225052555,1463168.4934405717,1578726.889595972,-0.00478446232989127,79211.5790609741,78352.76915186792,49073.374607581,-0.010841974358888784,271415.059620531,241287.551099032,264080.42510772095,-0.11100160972504869,32085.53799919709,32057.8322472703,37533.0137689947,-0.0008634965674405581,60049.9715983938,64367.392270369215,81919.92077100942,0.07189713095702599
2010,1578726.889595972,1688099.0223199897,1826244.3063282268,0.06927869123202712,49073.374607581,56415.069078567,80717.37310516024,0.14960647254635373,264080.42510772095,289608.965392262,297668.12441996596,0.09666956675841343,37533.0137689947,39380.78206166139,45206.80761682525,0.04923048023905552,81919.92077100942,91476.4953713911,107923.64553011923,0.1166575176152227
2011,1826244.3063282268,1885901.5875643338,2056871.4274478385,0.03266664872239988,80717.37310516024,82330.0860104196,122469.49553812268,0.019979749627856425,297668.12441996596,302467.109125305,305541.9587625222,0.016121930135080342,45206.80761682525,46586.440414695906,48248.520582317295,0.03051825312604417,107923.64553011923,115762.17325964257,117754.49758401899,0.07263030905804402
2012,2056871.4274478385,2088133.26064816,2259374.5525770616,0.015198729868648675,122469.49553812268,119134.88373934185,145197.1002322287,-0.027228101039599828,305541.9587625222,295731.18454026256,302077.4126149458,-0.0321094171877222,48248.520582317295,49304.93985608977,45833.324184345605,0.021895371319626378,117754.49758401899,121011.44125041451,133673.9061498443,0.027658762367625656
2013,2259374.5525770616,2300439.912719156,2480879.06312772,0.018175543357897395,145197.1002322287,139032.9631194925,146933.45971363134,-0.04245358277043598,302077.4126149458,309604.66499972914,314902.86769998656,0.024918289386893777,45833.324184345605,44618.94582831771,43708.936244706565,-0.026495533056768106,133673.9061498443,139823.21192517638,150973.88695774664,0.04600228984435373
2014,2480879.06312772,2471160.2806530213,2696169.3257259238,-0.003917475309113128,146933.45971363134,161690.54284947962,152452.95405693995,0.10043378250678492,314902.86769998656,297333.3324328296,336882.88459909055,-0.055793506726320996,43708.936244706565,41988.179115835395,42082.54056732933,-0.039368542836124565,150973.88695774664,146867.96806262282,155614.92416977434,-0.027196219014172573
2015,2696169.3257259238,2606540.637408757,2740336.131018276,-0.033242974564676064,152452.95405693995,163472.63784229528,87195.15147929231,0.0722825205554205,336882.88459909055,305528.5676618236,350177.47970906616,-0.09307186078800156,42082.54056732933,41111.290336828046,54089.66174239767,-0.023079648172556144,155614.92416977434,142918.9489791541,146979.23817392072,-0.0815858456915678
2016,2740336.131018276,2664153.179669454,2838141.0489232973,-0.02780058639029548,87195.15147929231,86492.3209997363,36881.89926974579,-0.008060430742217628,350177.47970906616,331441.06897642434,374711.63557644363,-0.05350547027812402,54089.66174239767,58250.02356919698,61270.345237819165,0.07691602596098779,146979.23817392072,132686.36626277913,136433.5928656342,-0.09724415562848954
2017,2838141.0489232973,2837558.989453499,2950815.537184031,-0.000205084757862517,36881.89926974579,38225.98968452905,61762.74803624936,0.036443091093354196,374711.63557644363,382681.1270568347,388781.7309331641,0.02126833202852385,61270.345237819165,61620.871792627,61222.00167073087,0.0057209822051316195,136433.5928656342,123150.65013341556,121696.40208821335,-0.09735830049788585
2018,2950815.537184031,2992027.464291407,3138275.993553307,0.013966283757169018,61762.74803624936,60084.53494355635,128418.75515338834,-0.02717193042816113,388781.7309331641,390933.0575990862,407913.44091484055,0.005533507607876631,61222.00167073087,63066.698947137804,64770.485599518324,0.030131280031127305,121696.40208821335,117579.78083774105,120663.03930460096,-0.033826975817151106
2019,3138275.993553307,3162176.487174727,3322642.5247702994,0.007615803603799209,128418.75515338834,120730.04509430703,137322.6739544924,-0.05987217404418543,407913.44091484055,401358.82140056445,416929.0611140457,-0.016068652946507056,64770.485599518324,65963.39053707695,76416.65009620806,0.018417415378579438,120663.03930460096,124428.2436471994,121300.6227434675,0.031204288938003533
2020,3322642.5247702994,3216664.2154123397,3384923.6457119766,-0.03189579034394807,137322.6739544924,139132.6089791389,122057.21813824405,0.01318016153141821,416929.0611140457,394383.1125573518,439751.527975781,-0.054076222214998526,76416.65009620806,75539.58688079403,80784.79222454832,-0.011477383715588374,121300.6227434675,119022.37400259101,129276.3994432428,-0.018781838784905802
2021,3384923.6457119766,3539194.6634026873,3975921.2633841904,0.04557592248384723,122057.21813824405,129203.36937492639,319541.54199365375,0.05854755126885247,439751.527975781,457710.2588644695,597694.0417382722,0.040838359269276925,80784.79222454832,80422.09000924452,81337.90789971268,-0.004489733838711096,129276.3994432428,145711.7571903009,130734.76284199518,0.12713347384240725
