Ano,Valor_ano_anterior_Total das Atividades,Valor_preço_anterior_Total das Atividades,Valor_corrente_Total das Atividades,Taxa de Crescimento_Total das Atividades,Valor_ano_anterior_Indústrias extrativas,Valor_preço_anterior_Indústrias extrativas,Valor_corrente_Indústrias extrativas,Taxa de Crescimento_Indústrias extrativas,Valor_ano_anterior_Indústrias de Transformação,Valor_preço_anterior_Indústrias de Transformação,Valor_corrente_Indústrias de Transformação,Taxa de Crescimento_Indústrias de Transformação,"Valor_ano_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_preço_anterior_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Valor_corrente_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Taxa de Crescimento_Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Valor_ano_anterior_Construção,Valor_preço_anterior_Construção,Valor_corrente_Construção,Taxa de Crescimento_Construção
2002,0.0,0.0,430781.1932316763,,0.0,0.0,527.35809347683,,0.0,0.0,79934.46908394003,,0.0,0.0,10842.782289847,,0.0,0.0,26906.083279131002,
2003,430781.1932316763,428783.3326616812,492825.39085838414,-0.004637761818261699,527.35809347683,496.72307641295004,488.68251904726003,-0.058091489336791535,79934.46908394003,80778.76567767996,108607.17234316998,0.01056235943536854,10842.782289847,11309.050916314998,11738.007946149002,0.043002673483963916,26906.083279131002,23545.546951207998,22788.151343024,-0.12489875590809296
2004,492825.39085838414,522775.07159198215,539425.320935618,0.060771383311709615,488.68251904726003,437.53046619070994,725.9476069883001,-0.10467338376718816,108607.17234316998,119937.58669296997,125576.35920184002,0.10432473385826557,11738.007946149002,11824.700794836002,13933.924843411,0.007385652581317403,22788.151343024,24912.169645387003,24877.978129174997,0.09320713516382773
2005,539425.320935618,560830.2629435204,619285.1784534311,0.03968101084090048,725.9476069883001,818.2541503013,778.8694305632999,0.12715317527658376,125576.35920184002,129178.84142503998,139944.15877009003,0.02868758296623053,13933.924843411,14906.629639619,15754.224049174,0.06980838544338552,24877.978129174997,25324.326760863998,27858.172526383005,0.017941515559319443
2006,619285.1784534311,641078.4499541783,686836.8698765388,0.0351910109574598,778.8694305632999,798.2710695006001,848.3618157633002,0.024910001825682482,139944.15877009003,141962.65995206,146414.49867656,0.014423618675546868,15754.224049174,16488.493722562,14987.565637957001,0.04660779681031002,27858.172526383005,27005.865421712,26149.344736165,-0.030594508805767195
2007,686836.8698765388,736524.6454508426,782245.7137098393,0.07234290666899601,848.3618157633002,903.0679241438003,687.9525892623999,0.06448440672837097,146414.49867656,156084.16214151002,169408.66614003002,0.06604307327726455,14987.565637957001,16497.531949612003,13779.631265333,0.10074793653152803,26149.344736165,27105.32396197,32308.504125583,0.03655843905269496
2008,782245.7137098393,827784.5600909216,854006.2805491235,0.058215526890025515,687.9525892623999,659.2822231490999,1097.0075998275997,-0.04167491562760084,169408.66614003002,178918.45809776007,187540.43938906994,0.05613521536064425,13779.631265333,13379.849193546997,12127.749411674995,-0.02901253771512602,32308.504125583,34512.135614155995,35076.959176820004,0.06820592745512122
2009,854006.2805491235,853137.0272591502,939371.6470458984,-0.0010178535097123964,1097.0075998275997,1167.4050541670001,1228.1061923128,0.06417225764932133,187540.43938906994,168078.6624359001,185882.19200706994,-0.10377376216334111,12127.749411674995,12656.844635665997,15688.491515213997,0.04362682687701791,35076.959176820004,38174.859303510006,43880.61954837699,0.08831723728028273
2010,939371.6470458984,1004765.8625822283,1071840.4016799317,0.06961484918347205,1228.1061923128,1429.4860482929998,1855.3644601436501,0.16397593077920747,185882.19200706994,202959.70459854003,205956.8731128236,0.09187277386324633,15688.491515213997,15801.229172385003,20612.110449061278,0.0071860100164300444,43880.61954837699,48939.650075394995,61678.13005629233,0.1152907725343435
2011,1071840.4016799317,1110457.1957011211,1184832.820716114,0.036028492638142895,1855.3644601436501,2783.75208646135,3871.52759219289,0.5003801928198086,205956.8731128236,209637.9807677107,214532.71535122022,0.017873196457350415,20612.110449061278,21236.8453763758,21685.68669257675,0.030309119915616245,61678.13005629233,66480.55709867997,65269.64076870906,0.07786272116234016
2012,1184832.820716114,1198615.0540627956,1286699.0007729558,0.011632217732077565,3871.52759219289,4132.79508240209,4809.013397491949,0.06748434151316851,214532.71535122022,207012.2407781826,210494.1123949027,-0.035055140940744356,21685.68669257675,21799.35304702007,20070.375507085184,0.005241538165458692,65269.64076870906,65837.02940311242,71187.58583367079,0.008692994594745374
2013,1286699.0007729558,1321121.438610466,1419426.2222842053,0.026752517734786263,4809.013397491949,7141.24945256707,7271.653491622339,0.4849718356558239,210494.1123949027,217605.02486923095,215755.50914888392,0.03378200175493573,20070.375507085184,19794.895490728217,20207.314372571556,-0.0137257031518776,71187.58583367079,74654.48412305918,79837.93069378023,0.048700883009135554
2014,1419426.2222842053,1401665.8794072575,1552872.8968708534,-0.01251233956236697,7271.653491622339,13916.666718287652,11095.973580531552,0.9138242401567982,215755.50914888392,202839.36379595826,230653.7803395548,-0.05986473023969352,20207.314372571556,19163.95043296283,18544.820622436364,-0.05163298399637606,79837.93069378023,77451.4309802129,81444.11259174564,-0.029891803217205082
2015,1552872.8968708534,1496830.569523462,1626004.2074988664,-0.03608944908518941,11095.973580531552,15458.22567109792,8630.162728015752,0.39313829101217035,230653.7803395548,207496.73102214452,240340.90400355993,-0.10039744106218351,18544.820622436364,17984.483061715324,26407.642962292364,-0.030215313058521542,81444.11259174564,75730.96854287633,81273.83439030929,-0.07014802994425817
2016,1626004.2074988664,1585374.2334966606,1725307.4497324128,-0.02498761922929038,8630.162728015752,9534.88611273722,3513.1377108175507,0.10483271442663544,240340.90400355993,227890.18710782385,260655.6260025172,-0.051804402364866164,26407.642962292364,28295.091944207023,29242.68550731214,0.071473587574997,81273.83439030929,75442.2816249052,76064.9236924483,-0.07175190895262373
2017,1725307.4497324128,1726927.5915777697,1786741.7885046469,0.0009390452963082829,3513.1377108175507,3596.5406113658887,6250.08611797929,0.02374028786048621,260655.6260025172,266027.11129963974,272248.1275668577,0.020607593933424928,29242.68550731214,29165.305122779624,29816.281129670853,-0.0026461449483894395,76064.9236924483,69619.62173363048,70661.70001622097,-0.0847342197420452
2018,1786741.7885046469,1812531.6226008364,1852796.8972714099,0.014434001746706615,6250.08611797929,6070.758841661968,13741.655359785229,-0.02869196886767056,272248.1275668577,274233.7101116965,278362.2445513512,0.0072932826483855795,29816.281129670853,31092.394377478548,30415.34431307776,0.042799209004566574,70661.70001622097,68003.76347958994,68856.09019543901,-0.03761495316445662
2019,1852796.8972714099,1881416.875292938,1975310.4842294813,0.015446905197043614,13741.655359785229,12964.45447842533,13813.111287488382,-0.05655802456190007,278362.2445513512,276573.2857306611,284794.6979576689,-0.006426729399216513,30415.34431307776,30968.835087498886,35503.07413409937,0.018197748107791067,68856.09019543901,70237.8052670126,66760.91081042642,0.020066708226560204
2020,1975310.4842294813,1909228.9626168597,2014850.3083047292,-0.03345373911605509,13813.111287488382,12807.71774536119,10012.716103524059,-0.07278545153240434,284794.6979576689,267581.67758572643,298301.62187358877,-0.06044010122162102,35503.07413409937,34370.9287101294,38839.068169808445,-0.03188865898467608,66760.91081042642,66264.46785351705,69719.60123079285,-0.007436132174994725
2021,2014850.3083047292,2101939.4420568813,2246365.4311203207,0.04322362479892017,10012.716103524059,10308.572600645917,23507.42074783704,0.029548076072758,298301.62187358877,303781.42088202626,383814.53535762744,0.018369994014848734,38839.068169808445,38323.538897117556,40781.397648661696,-0.013273471712476281,69719.60123079285,78770.37275907866,70189.17801227383,0.12981674261625553
