Ano,PIB_Rio,PIB_Rio_MM,Erro Quadrático,Erro Absoluto,Erro absoluto percentual,PIB_BR,PIB_BR_MM,Erro,Erro Absoluto,Erro absoluto percentual,Transf_Rio,Transf_Rio_MM,Erro,Erro Absoluto,Erro absoluto percentual,Transf_BR,Transf_BR_MM,Erro,Erro Absoluto,Erro absoluto percentual,Extrat_Rio,Extrat_Rio_MM,Ext_BR,Extrat_BR_MM,Const_Rio,Const_Rio_MM,Const_BR,Const_BR_MM
2002-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,"-0,0091",,,,,"0,0123",,,,,"0,0266",,,,,"0,0266",,,,,"0,0458",,"0,0458",,"-0,0894",,"-0,0894",
2004-01-01,"0,0282","0,0095","0,000347","0,018633",66,"0,0566","0,0344","0,000491","0,022150",39,"0,0908","0,0587","0,001032","0,032117",35,"0,0908","0,0587","0,001032","0,032117",35,"-0,0047","0,0206","-0,0047","0,0206","0,1074","0,0090","0,1074","0,0090"
2005-01-01,"0,0257","0,0149","0,000117","0,010811",42,"0,0301","0,0330","0,000008","0,002851",9,"0,0224","0,0466","0,000585","0,024189",108,"0,0224","0,0466","0,000585","0,024189",108,"0,0681","0,0364","0,0681","0,0364","-0,0210","-0,0010","-0,0210","-0,0010"
2006-01-01,"0,0389","0,0309","0,000064","0,007983",21,"0,0369","0,0412","0,000019","0,004328",12,"0,0123","0,0419","0,000872","0,029528",239,"0,0123","0,0419","0,000872","0,029528",239,"0,0652","0,0429","0,0652","0,0429","0,0026","0,0297","0,0026","0,0297"
2007-01-01,"0,0306","0,0317","0,000001","0,001189",4,"0,0580","0,0417","0,000267","0,016327",28,"0,0614","0,0321","0,000862","0,029354",48,"0,0614","0,0321","0,000862","0,029354",48,"0,0289","0,0541","0,0289","0,0541","0,0920","0,0245","0,0920","0,0245"
2008-01-01,"0,0343","0,0346","0,000000","0,000287",1,"0,0468","0,0472","0,000000","0,000441",1,"0,0415","0,0384","0,000009","0,003081",7,"0,0415","0,0384","0,000009","0,003081",7,"0,0411","0,0451","0,0411","0,0451","0,0491","0,0479","0,0491","0,0479"
2009-01-01,"0,0213","0,0287","0,000055","0,007403",35,"-0,0010","0,0346","0,001265","0,035565",3.672,"-0,0926","0,0034","0,009228","0,096063",104,"-0,0926","0,0034","0,009228","0,096063",104,"-0,0212","0,0163","-0,0212","0,0163","0,0702","0,0704","0,0702","0,0704"
2010-01-01,"0,0430","0,0329","0,000103","0,010124",24,"0,0698","0,0385","0,000976","0,031242",45,"0,0919","0,0136","0,006133","0,078315",85,"0,0919","0,0136","0,006133","0,078315",85,"0,1489","0,0563","0,1489","0,0563","0,1310","0,0834","0,1310","0,0834"
2011-01-01,"0,0221","0,0288","0,000045","0,006702",30,"0,0374","0,0354","0,000004","0,002023",5,"0,0225","0,0072","0,000232","0,015228",68,"0,0225","0,0072","0,000232","0,015228",68,"0,0347","0,0541","0,0347","0,0541","0,0825","0,0946","0,0825","0,0946"
2012-01-01,"0,0162","0,0271","0,000119","0,010923",68,"0,0161","0,0411","0,000624","0,024985",155,"-0,0238","0,0302","0,002914","0,053982",227,"-0,0238","0,0302","0,002914","0,053982",227,"-0,0194","0,0547","-0,0194","0,0547","0,0318","0,0818","0,0318","0,0818"
2013-01-01,"0,0104","0,0162","0,000034","0,005811",56,"0,0288","0,0274","0,000002","0,001322",5,"0,0301","0,0096","0,000421","0,020527",68,"0,0301","0,0096","0,000421","0,020527",68,"-0,0319","-0,0055","-0,0319","-0,0055","0,0450","0,0531","0,0450","0,0531"
2014-01-01,"0,0146","0,0137","0,000001","0,000860",6,"0,0046","0,0165","0,000141","0,011886",258,"-0,0469","-0,0135","0,001113","0,033362",71,"-0,0469","-0,0135","0,001113","0,033362",71,"0,0905","0,0131","0,0905","0,0131","-0,0214","0,0185","-0,0214","0,0185"
2015-01-01,"-0,0230","0,0007","0,000561","0,023695",103,"-0,0315","0,0006","0,001032","0,032123",102,"-0,0848","-0,0339","0,002599","0,050983",60,"-0,0848","-0,0339","0,002599","0,050983",60,"0,0570","0,0385","0,0570","0,0385","-0,0900","-0,0222","-0,0900","-0,0222"
2016-01-01,"-0,0395","-0,0160","0,000554","0,023528",60,"-0,0290","-0,0186","0,000108","0,010371",36,"-0,0477","-0,0598","0,000147","0,012124",25,"-0,0477","-0,0598","0,000147","0,012124",25,"-0,0122","0,0451","-0,0122","0,0451","-0,0998","-0,0704","-0,0998","-0,0704"
2017-01-01,"-0,0183","-0,0270","0,000074","0,008631",47,"0,0125","-0,0160","0,000814","0,028529",227,"0,0231","-0,0365","0,003548","0,059568",258,"0,0231","-0,0365","0,003548","0,059568",258,"0,0492","0,0313","0,0492","0,0313","-0,0925","-0,0941","-0,0925","-0,0941"
2018-01-01,"0,0100","-0,0159","0,000673","0,025941",260,"0,0176","0,0004","0,000296","0,017194",98,"0,0139","-0,0035","0,000305","0,017477",125,"0,0139","-0,0035","0,000305","0,017477",125,"0,0039","0,0136","0,0039","0,0136","-0,0299","-0,0741","-0,0299","-0,0741"
2019-01-01,"0,0046","-0,0013","0,000034","0,005827",127,"0,0098","0,0133","0,000012","0,003509",36,"-0,0043","0,0109","0,000230","0,015180",356,"-0,0043","0,0109","0,000230","0,015180",356,"-0,0915","-0,0128","-0,0915","-0,0128","0,0192","-0,0344","0,0192","-0,0344"
2020-01-01,"-0,0256","-0,0037","0,000480","0,021904",86,"-0,0318","-0,0015","0,000921","0,030344",95,"-0,0467","-0,0123","0,001179","0,034333",74,"-0,0467","-0,0123","0,001179","0,034333",74,"0,0086","-0,0263","0,0086","-0,0263","-0,0209","-0,0105","-0,0209","-0,0105"
2021-01-01,"0,0422","0,0071","0,001235","0,035143",83,"0,0454","0,0078","0,001415","0,037610",83,"0,0378","-0,0044","0,001777","0,042158",112,"0,0378","-0,0044","0,001777","0,042158",112,"0,0360","-0,0156","0,0360","-0,0156","0,1262","0,0415","0,1262","0,0415"
,,,"0,000250","0,012522",62,,,"0,000466","0,017378",273,,,"0,001844","0,035976",115,,,"0,001844","0,035976",115,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Raiz do Erro quadrático médio,Erro Quadrático Médio,Erro Absoluto Médio,Erro percentual absoluto médio,,,,,,,,,,,,,,,,,,,,,,,
,,RMSE,MSE,MAE,MAPE,,,,,,,,,,,,,,,,,,,,,,,
,PIB Rio de Janeiro,"0,015805","0,00025","0,012522",62,,,,,,,,,,,,,,,,,,,,,,,
,PIB Brasil,"0,021594","0,000466","0,017378",273,,,,,,,,,,,,,,,,,,,,,,,
,Transf. Rio de Janeiro,"0,042939","0,001844","0,035976",115,,,,,,,,,,,,,,,,,,,,,,,
,Transf. Brasil,"0,042939","0,001844","0,035976",115,,,,,,,,,,,,,,,,,,,,,,,
,Extrat. Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extrat. Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Const. Rio de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Const. Brasil,,,,,,,,,,,,,,,,,,,,,,,,,,,
