,2002-2021,2002-2008,2009-2014,2015-2021
Maranhão,0.011287694254786684,0.0644567448256707,0.014509297639270039,-0.02179673331278309
Piauí,0.033194483447026094,0.05848021012749971,0.09979053445886633,-0.03277525829352231
Ceará,0.01790005702126735,0.028161694902084217,0.06365372208562943,-0.031803364902285115
Rio Grande do Norte,0.018218952632345017,0.05367058832902619,0.04948079256463848,-0.033141456917522995
Paraíba,0.031731401485256404,0.06942927381534127,0.0785091259759673,-0.03101358612820156
Pernambuco,0.005205208834505645,0.026235942414040887,0.06800757448859766,-0.04439196842444465
Alagoas,0.03416830844931471,0.07146375903678549,0.07295695862003837,-0.01988815394792
Sergipe,0.014869082853423518,0.045379274794862645,0.05386515773637875,-0.03842559509087704
Bahia,0.018605570714930082,0.04875901293770474,0.049671457084428196,-0.020676223730635657
Rondônia,0.011053359633710971,0.11615630079029915,0.060588309006927764,-0.09938263676919705
Minas Gerais,0.02463549769651075,0.03774128069948581,0.05245149743230918,0.006080508952956439
Espírito Santo,0.023894118822246097,0.05254460901042263,0.03554217485852192,0.003962614782292577
Rio de Janeiro,-0.001241332871373355,0.013457302768089837,0.05391945915095325,-0.0580654946556331
São Paulo,0.013031092881325406,0.01006995875285053,0.05149546756060704,-0.008608960531884091
Paraná,0.02096037487353556,0.008480574578147382,0.06419006742527404,0.0007522465458978019
Santa catarina,0.03377638205180111,0.020593710697275096,0.0912034559389719,-0.002137595878260623
Rio Grande do Sul,0.014606031108183861,0.026242666331580067,0.04897841061425482,-0.01726830808962961
Mato Grosso do Sul,0.014213484883621777,0.036448776483944956,0.05515207878857995,-0.01670836862419219
Acre,0.03103903747193027,0.12359616927182855,0.05482930082388093,-0.05014905023207402
Mato Grosso,0.027429631747773867,0.0399522608679588,0.08501092252932045,-0.01685101664015004
Goiás,0.027531107979549215,0.04829210634461669,0.06840228923343784,-0.007280756360663758
Distrito Federal,0.02031642690567663,0.015389509791064146,0.05835523405209625,0.009595702753847746
Brasil,0.015367070008761386,0.02344932751673266,0.05651387254291609,-0.016293285944855223
Amazonas,0.02438140288639491,0.03136907241464019,0.07802453550064177,-0.015559191555720739
Roraima,0.04944638982495917,0.06997037343571576,0.06604812016419327,0.03303925680836354
Pará,0.04327960624807149,0.10905034334514226,0.07274412111819119,-0.029241198439227827
Amapá,0.01851935191391042,0.06788334777142303,0.040547794058957386,-0.020027132140678455
Tocantins,0.026626565982385154,0.06366571901799867,0.04587189668794726,-0.005132758076040707
Média,0.022543677397521073,0.05025705865020369,0.06051110205921781,-0.02099609181104394
