,2002-2021,2002-2008,2009-2014,2015-2021
Maranhão,0.15719848267658873,0.16419574120361427,0.1514936126056364,0.215708508264694
Piauí,0.07283294169254537,0.13474264814736225,0.08443409437456163,0.062018250514361294
Ceará,-0.0313535326509535,-0.009419686719903028,-0.021504515379831796,-0.04453094398869728
Rio Grande do Norte,-0.03966595622157634,-0.042627380360627166,-0.012241328582598798,-0.06566929681519418
Paraíba,0.14730702474297522,0.01879061044380916,0.4774513447455231,-0.006645141771084995
Pernambuco,0.022140939598810097,0.08877084558469706,0.03146826736457683,-0.048387849287644225
Alagoas,-0.03759218040512756,0.009758750838458119,-0.026557036367127085,-0.09293720015347423
Sergipe,-0.05836303456535639,0.02552640698253733,0.02964654525219934,-0.2073068934802227
Bahia,0.014066364052162212,0.014316054315560859,0.00285000063827473,0.04456373698731255
Rondônia,0.04967419411974962,0.07828749563930919,0.14912588712240174,-0.05437947497404624
Minas Gerais,0.005641180341026611,0.0930261404285279,0.019029582226871806,-0.10115228900896832
Espírito Santo,0.05553720378708036,0.1505536082327947,0.15312345509712774,-0.1366153172582467
Rio de Janeiro,0.027080645531268672,0.024333666603311137,-0.007223537404466167,0.06079262496566203
São Paulo,0.13684950095175052,0.002017965849842781,0.3658014664290213,1.4272232984113842e-05
Paraná,0.05577300871354515,0.12490743236354428,0.07817111156222604,-0.006459971943016618
Santa catarina,0.02919221155620959,0.07413770987428665,0.07101708358696164,-0.03749645982234464
Rio Grande do Sul,-0.012712647147396616,-0.009776911011402453,0.019315857170334665,-0.044713931897225966
Mato Grosso do Sul,0.03100809230307298,0.12555489323454275,0.12005163859342916,-0.13599699293387948
Acre,0.10767359795345058,0.057552263694603,-0.07467875933275459,0.2966603199211826
Mato Grosso,0.040968553120948194,0.06680005673406958,0.03635275873541168,0.04771124604027194
Goiás,0.0335993618899003,0.06622720949403697,0.021857864815445844,0.02575387380293224
Distrito Federal,0.06651715694209169,7.020961379024711e-05,-0.03556491948607839,0.28171813562755016
Brasil,0.02616216555826975,0.040748585815492955,0.0336043583097664,-0.0010002882697710362
Amazonas,0.006813948003545231,-0.009588095676124786,0.07690211921490114,-0.0353193850371919
Roraima,0.13086406915864676,0.10778323536931582,0.3163045818697445,-0.00929872481166392
Pará,0.052815631435314994,0.1245433570927849,0.04520530638736207,-0.016575401735256734
Amapá,0.1356505488479394,-0.018771124898782892,0.44045508231857977,0.0921485613212869
Tocantins,0.18512531375776883,0.42666767269438655,0.09964448548808534,0.09480571891965334
Média,0.05128306000688817,0.06994002873216093,0.09673822403873404,0.006607776802953077
