,2002-2021,2002-2008,2009-2014,2015-2021
Maranhão,0.036944025131878076,0.06178577173461386,0.06598857113873931,0.00541255607443214
Piauí,0.04819977165223879,0.07350523110914141,0.10257484036587623,-0.012071613250927446
Ceará,0.012768719234357021,0.03588596122641755,0.030513606312868573,-0.016762567574409748
Rio Grande do Norte,-0.0031763016673209805,0.0007892156089157424,0.010586603490786254,-0.01509120727154791
Paraíba,0.04367872404137901,0.05877386502149765,0.1077213809875694,-0.02075094131621069
Pernambuco,0.015310252958770924,0.028913034311843333,0.03460298562295203,-0.000284039571825397
Alagoas,0.009020793734003446,0.031187187795154708,0.03069913274937112,-0.019651152699622015
Sergipe,0.015406687076830286,0.03696602080235458,0.01718883057821663,0.01082098943790529
Bahia,0.011810410437285432,0.05717812137098729,0.009286731173010524,-0.01594140193816292
Rondônia,0.03927703235337895,0.07487680812829772,0.07652194188217193,-0.00524749699507691
Minas Gerais,0.006319381657717248,0.04373251999118525,0.00015288081600689507,-0.013465467751107851
Espírito Santo,0.023057770716158648,0.07296701098391918,0.04742634433078754,-0.05200758068797138
Rio de Janeiro,0.011713485485301378,0.017365952409856073,0.010088936691818465,0.011526532158530592
São Paulo,0.007772518060363311,0.03910296659924702,0.008068286645133501,-0.010332427792835275
Paraná,0.014730969326424809,0.03414784578980373,0.019955371360063978,0.003872757381214028
Santa catarina,0.011468571066938275,0.024086605329949568,0.011463028063117183,0.010209638299645515
Rio Grande do Sul,0.0027029467457438013,0.022338877133953217,0.005166275258603377,-0.0010267810687369556
Mato Grosso do Sul,0.04349540802574801,0.06290104519831334,0.06945556771355256,0.012662302328365627
Acre,0.028247191212561525,0.09257314153785771,0.035453678558890554,-0.025878117502531644
Mato Grosso,0.03410047650315784,0.07075925857939436,0.047630177517772355,-0.0022339467870137
Goiás,0.026312176914101267,0.05378219082563388,0.04408384184021793,-0.006615094910193964
Distrito Federal,0.018560070781012322,0.024298927360011695,0.03986578111115654,0.007105175821885468
Brasil,0.012346716320363988,0.037709377451140114,0.01591720246587658,-0.004926139381695782
Amazonas,0.031407966236951586,0.06466252946759048,0.030823337586324995,0.020299323916888674
Roraima,0.03360147600396092,0.029108931792068898,0.055668680212529444,0.03088933407047484
Pará,0.02957369452698434,0.07103108852147504,0.0322960473789908,-0.010249860632636165
Amapá,0.04326657305771802,0.06269303762076717,0.0974678375596391,0.0038607451827089947
Tocantins,0.048430247884591146,0.08607364387185956,0.08211677253935483,-0.008461568692603894
Média,0.023851890339193906,0.04931432556007814,0.041587684055019336,-0.004422663398939361
