,2002-2021,2002-2008,2009-2014,2015-2021
Maranhão,0.04290916419024295,0.064616566615969,0.08106275674772807,-0.00418007974859369
Piauí,0.05327365325805219,0.08846129743620967,0.11504385488197207,-0.03386345611450575
Ceará,0.00015393397628375642,0.0395833309180868,-0.005176926404692435,-0.016523548762332325
Rio Grande do Norte,-0.007567270653843667,0.018099458886401725,-0.00753788208373581,-0.026182001055485977
Paraíba,0.04780326219813049,0.08583766061304177,0.09605106037237698,-0.03092163563862658
Pernambuco,0.021509622657525915,0.04503401477741864,0.0069423867253070775,0.017948326586935254
Alagoas,0.002948057378082797,0.03389957006688186,0.007376687468538053,-0.016026171095092412
Sergipe,0.003203262794829333,0.04485866052326062,-0.004923888770666203,-0.025726466787003133
Bahia,0.00913435664465417,0.07747253523107929,-0.010245538785213948,-0.027200893215602057
Rondônia,0.053246813270355936,0.06987504085345468,0.1025268467942602,0.008071983381881124
Minas Gerais,0.00441915255482096,0.038358949250136797,-0.012412870846076654,0.0020597709060853155
Espírito Santo,0.00183194455296861,0.04295869537788588,-0.04112055559940007,-0.0028834765260868736
Rio de Janeiro,-0.00820602423228744,0.00733927662323743,-0.0038863380478145193,-0.013155855092464438
São Paulo,0.0027480588870445175,0.04669609726222005,-0.009194276878041086,-0.012066727064840743
Paraná,0.015706773488179008,0.04528167938797608,0.008261588895028335,0.011912686631747474
Santa catarina,0.004474619649681065,0.02300605471661508,-0.011214229644675722,0.014806056204074103
Rio Grande do Sul,-0.0004875394932640658,0.022415733999968473,-0.006963754048811462,0.0042528653102893626
Mato Grosso do Sul,0.05445063223027569,0.08287925764063882,0.05772621697826774,0.02971255190200454
Acre,0.03464489474904794,0.08517440414929052,0.021154942810913218,-0.009010869785216999
Mato Grosso,0.030018289660208784,0.08493877993555381,0.02003268053992426,-0.010421655638591229
Goiás,0.03389619693476967,0.06645461636565546,0.04632003728063949,-0.007750464005435294
Distrito Federal,0.026492185633887846,0.0634742450496666,0.023034906143449534,0.0026527934840959166
Brasil,0.006719232370759554,0.042515596314976443,-0.003131918316736537,-0.003965656802883984
Amazonas,0.03442406411554787,0.08001343058230796,0.019169793664641683,0.029706754162769855
Roraima,0.00768623591610291,0.01562709235319056,0.009715803984884697,-0.014687160466967497
Pará,-0.004603354547582714,0.03507519279936744,-0.01924422790940448,-0.024684787373382994
Amapá,0.022607373369214964,0.07575921054354527,0.0018218189653663546,-0.00453636126025142
Tocantins,0.07178035570173268,0.10715153108445426,0.1421294323457616,-0.02634718097983557
Média,0.020685137588320815,0.05519786603864868,0.02320186391038989,-0.006853518594090075
