,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,22347.391065045158,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,
58,2003,22347.391065045158,23387.97165437712,25169.3695164707,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.04656385106893279
59,2004,25169.3695164707,25877.48269171874,29741.9183885611,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.028133925833329076
60,2005,29741.9183885611,31053.417057641702,33998.0898758786,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.044095967581735174
61,2006,33998.0898758786,35315.68267767351,35158.09472419941,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.03875490671991355
62,2007,35158.09472419941,37382.7717796996,34554.511032197806,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.06327638266384628
63,2008,34554.511032197806,35877.754242708106,32085.53799919709,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.03829436941756481
64,2009,32085.53799919709,32057.8322472703,37533.0137689947,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,-0.0008634965674405581
65,2010,37533.0137689947,39380.78206166139,45206.80761682525,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.04923048023905552
66,2011,45206.80761682525,46586.440414695906,48248.520582317295,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.03051825312604417
67,2012,48248.520582317295,49304.93985608977,45833.324184345605,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.021895371319626378
68,2013,45833.324184345605,44618.94582831771,43708.936244706565,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,-0.026495533056768106
69,2014,43708.936244706565,41988.179115835395,42082.54056732933,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,-0.039368542836124565
70,2015,42082.54056732933,41111.290336828046,54089.66174239767,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,-0.023079648172556144
71,2016,54089.66174239767,58250.02356919698,61270.345237819165,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.07691602596098779
72,2017,61270.345237819165,61620.871792627,61222.00167073087,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.0057209822051316195
73,2018,61222.00167073087,63066.698947137804,64770.485599518324,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.030131280031127305
74,2019,64770.485599518324,65963.39053707695,76416.65009620806,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,0.018417415378579438
75,2020,76416.65009620806,75539.58688079403,80784.79222454832,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,-0.011477383715588374
76,2021,80784.79222454832,80422.09000924452,81337.90789971268,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Região Sudeste,-0.004489733838711096
