,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,26906.083279131002,Construção,São Paulo,
58,2003,26906.083279131002,23545.546951207998,22788.151343024,Construção,São Paulo,-0.12489875590809296
59,2004,22788.151343024,24912.169645387003,24877.978129174997,Construção,São Paulo,0.09320713516382773
60,2005,24877.978129174997,25324.326760863998,27858.172526383005,Construção,São Paulo,0.017941515559319443
61,2006,27858.172526383005,27005.865421712,26149.344736165,Construção,São Paulo,-0.030594508805767195
62,2007,26149.344736165,27105.32396197,32308.504125583,Construção,São Paulo,0.03655843905269496
63,2008,32308.504125583,34512.135614155995,35076.959176820004,Construção,São Paulo,0.06820592745512122
64,2009,35076.959176820004,38174.859303510006,43880.61954837699,Construção,São Paulo,0.08831723728028273
65,2010,43880.61954837699,48939.650075394995,61678.13005629233,Construção,São Paulo,0.1152907725343435
66,2011,61678.13005629233,66480.55709867997,65269.64076870906,Construção,São Paulo,0.07786272116234016
67,2012,65269.64076870906,65837.02940311242,71187.58583367079,Construção,São Paulo,0.008692994594745374
68,2013,71187.58583367079,74654.48412305918,79837.93069378023,Construção,São Paulo,0.048700883009135554
69,2014,79837.93069378023,77451.4309802129,81444.11259174564,Construção,São Paulo,-0.029891803217205082
70,2015,81444.11259174564,75730.96854287633,81273.83439030929,Construção,São Paulo,-0.07014802994425817
71,2016,81273.83439030929,75442.2816249052,76064.9236924483,Construção,São Paulo,-0.07175190895262373
72,2017,76064.9236924483,69619.62173363048,70661.70001622097,Construção,São Paulo,-0.0847342197420452
73,2018,70661.70001622097,68003.76347958994,68856.09019543901,Construção,São Paulo,-0.03761495316445662
74,2019,68856.09019543901,70237.8052670126,66760.91081042642,Construção,São Paulo,0.020066708226560204
75,2020,66760.91081042642,66264.46785351705,69719.60123079285,Construção,São Paulo,-0.007436132174994725
76,2021,69719.60123079285,78770.37275907866,70189.17801227383,Construção,São Paulo,0.12981674261625553
