,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,81979.57999999999,Construção,Brasil,
58,2003,81979.57999999999,74647.96899999956,67878.14799999891,Construção,Brasil,-0.08943216103327711
59,2004,67878.14799999891,75171.6199999993,82056.72499999893,Construção,Brasil,0.10744948433184276
60,2005,82056.72499999893,80333.85000000171,84570.74100000023,Construção,Brasil,-0.020996146263420168
61,2006,84570.74100000023,84793.34899999821,89102.05500000027,Construção,Brasil,0.002632210589215367
62,2007,89102.05500000027,97296.76499999927,105871.24500000101,Construção,Brasil,0.09196993267999232
63,2008,105871.24500000101,111066.62700000088,114801.96099999905,Construção,Brasil,0.049072644796042786
64,2009,114801.96099999905,122862.40799999921,154624.3579999988,Construção,Brasil,0.07021175361281706
65,2010,154624.3579999988,174881.68909999562,206926.9999999999,Construção,Brasil,0.1310099609273525
66,2011,206926.9999999999,223993.00000000055,233543.99999999983,Construção,Brasil,0.0824735293122727
67,2012,233543.99999999983,240980.00000000067,265237.0000000007,Construção,Brasil,0.03183982461549362
68,2013,265237.0000000007,277161.0000000004,290641.00000000035,Construção,Brasil,0.04495602046471525
69,2014,290641.00000000035,284418.9999999997,306946.00000000006,Construção,Brasil,-0.02140785367515463
70,2015,306946.00000000006,279306.99999999977,296017.9999999998,Construção,Brasil,-0.09004515452229478
71,2016,296017.9999999998,266462.99999999924,275186.99999999866,Construção,Brasil,-0.09984190150599148
72,2017,275186.99999999866,249743.99999999916,244800.00000000006,Construção,Brasil,-0.09245712915217519
73,2018,244800.00000000006,237475.99999999983,243280.00000000044,Construção,Brasil,-0.029918300653595686
74,2019,243280.00000000044,247938.99999999988,248642.99999999933,Construção,Brasil,0.01915077277211208
75,2020,248642.99999999933,243456.9999999994,267921.0,Construção,Brasil,-0.020857212951902793
76,2021,267921.0,301722.99999999907,275110.9999999999,Construção,Brasil,0.12616405582242174
