,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,43218.25099999932,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,
58,2003,43218.25099999932,44824.838000000374,48108.40899999989,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.037173808815194276
59,2004,48108.40899999989,50995.5810000006,57367.478000000025,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.06001387408177883
60,2005,57367.478000000025,59172.028000000115,62185.53900000061,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.03145597580566628
61,2006,62185.53900000061,64758.404999999606,66218.72700000109,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.041374024272732735
62,2007,66218.72700000109,70274.54400000002,69579.3470000007,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.06124879144835971
63,2008,69579.3470000007,71374.84499999981,68838.57800000047,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.025805042407182954
64,2009,68838.57800000047,69350.29399999986,76616.113,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.007433564359789369
65,2010,76616.113,81424.31729999976,92913.99999999983,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.06275709001316421
66,2011,92913.99999999983,98122.99999999983,99219.00000000051,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.05606259551843662
67,2012,99219.00000000051,99895.99999999967,100233.00000000001,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.006823289894064111
68,2013,100233.00000000001,101837.99999999988,92817.99999999981,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.01601269043129383
69,2014,92817.99999999981,91014.00000000052,93975.00000000055,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,-0.019435885280864595
70,2015,93975.00000000055,93605.99999999991,123183.000000001,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,-0.003926576217085809
71,2016,123183.000000001,131154.9999999998,143720.0000000002,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.06471672227497893
72,2017,143720.0000000002,145046.99999999866,156242.00000000015,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.009233231283039656
73,2018,156242.00000000015,161966.99999999962,171433.0000000012,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.036641876064051004
74,2019,171433.0000000012,175852.00000000087,190862.00000000105,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.02577683409845033
75,2020,190862.00000000105,188935.0000000007,209111.99999999953,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,-0.01009629994446426
76,2021,209111.99999999953,212346.9999999996,220981.99999999962,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",Brasil,0.015470178660239808
