,Ano,Valor_ano_anterior,Valor_preço_anterior,Valor_corrente,Categoria,Local,Taxa de Crescimento
57,2002,0.0,0.0,25740.85100000032,Indústrias extrativas,Brasil,
58,2003,25740.85100000032,26920.500999999946,32325.019000000368,Indústrias extrativas,Brasil,0.04582793319457901
59,2004,32325.019000000368,32173.304999999764,40827.779000001035,Indústrias extrativas,Brasil,-0.004693392446284528
60,2005,40827.779000001035,43606.95699999948,58023.11000000034,Indústrias extrativas,Brasil,0.06807076133135648
61,2006,58023.11000000034,61808.859999999455,72012.65299999993,Indústrias extrativas,Brasil,0.06524555474532634
62,2007,72012.65299999993,74094.11700000032,68587.33600000001,Indústrias extrativas,Brasil,0.028904142720590942
63,2008,68587.33600000001,71408.78000000057,100288.12399999978,Indústrias extrativas,Brasil,0.04113651534738949
64,2009,100288.12399999978,98161.46499999941,62704.62100000025,Indústrias extrativas,Brasil,-0.021205491888554695
65,2010,62704.62100000025,72040.02455999973,109964.99999999972,Indústrias extrativas,Brasil,0.1488790365226742
66,2011,109964.99999999972,113781.00000000025,162567.0000000001,Indústrias extrativas,Brasil,0.03470195062065695
67,2012,162567.0000000001,159413.00000000006,186191.0000000002,Indústrias extrativas,Brasil,-0.019401231492246485
68,2013,186191.0000000002,180257.99999999988,189434.0,Indústrias extrativas,Brasil,-0.03186512774516659
69,2014,189434.0,206581.0000000005,184796.99999999988,Indústrias extrativas,Brasil,0.090517013841235
70,2015,184796.99999999988,195323.99999999977,110773.00000000003,Indústrias extrativas,Brasil,0.05696521047419534
71,2016,110773.00000000003,109421.99999999972,55575.00000000015,Indústrias extrativas,Brasil,-0.01219611277116539
72,2017,55575.00000000015,58310.99999999975,90695.9999999997,Indústrias extrativas,Brasil,0.04923076923076186
73,2018,90695.9999999997,91049.00000000015,161068.99999999997,Indústrias extrativas,Brasil,0.0038921231366373377
74,2019,161068.99999999997,146332.0000000001,182816.99999999985,Indústrias extrativas,Brasil,-0.09149494936952418
75,2020,182816.99999999985,184386.99999999994,193615.00000000023,Indústrias extrativas,Brasil,0.008587822795473654
76,2021,193615.00000000023,200580.9999999999,424866.99999999977,Indústrias extrativas,Brasil,0.0359786173591905
